"","Date","country","value","year"
"135","2003-01-26","Peru",241,2003
"136","2003-01-26","Poland",NA,2003
"137","2003-01-26","Romania",NA,2003
"138","2003-01-26","Russia",NA,2003
"139","2003-01-26","South.Africa",NA,2003
"140","2003-01-26","Spain",NA,2003
"141","2003-01-26","Sweden",NA,2003
"142","2003-01-26","Switzerland",NA,2003
"143","2003-01-26","Ukraine",NA,2003
"144","2003-01-26","United.States",NA,2003
"145","2003-01-26","Uruguay",NA,2003
"146","2003-02-02","Argentina",136,2003
"147","2003-02-02","Australia",NA,2003
"148","2003-02-02","Austria",NA,2003
"149","2003-02-02","Belgium",NA,2003
"150","2003-02-02","Bolivia",NA,2003
"151","2003-02-02","Brazil",151,2003
"152","2003-02-02","Bulgaria",NA,2003
"153","2003-02-02","Canada",NA,2003
"154","2003-02-02","Chile",0,2003
"155","2003-02-02","France",NA,2003
"156","2003-02-02","Germany",NA,2003
"157","2003-02-02","Hungary",NA,2003
"158","2003-02-02","Japan",NA,2003
"159","2003-02-02","Mexico",NA,2003
"160","2003-02-02","Netherlands",NA,2003
"161","2003-02-02","New.Zealand",NA,2003
"162","2003-02-02","Norway",NA,2003
"163","2003-02-02","Paraguay",NA,2003
"164","2003-02-02","Peru",227,2003
"165","2003-02-02","Poland",NA,2003
"166","2003-02-02","Romania",NA,2003
"167","2003-02-02","Russia",NA,2003
"168","2003-02-02","South.Africa",NA,2003
"169","2003-02-02","Spain",NA,2003
"170","2003-02-02","Sweden",NA,2003
"171","2003-02-02","Switzerland",NA,2003
"172","2003-02-02","Ukraine",NA,2003
"173","2003-02-02","United.States",NA,2003
"174","2003-02-02","Uruguay",NA,2003
"175","2003-02-09","Argentina",145,2003
"176","2003-02-09","Australia",NA,2003
"177","2003-02-09","Austria",NA,2003
"178","2003-02-09","Belgium",NA,2003
"179","2003-02-09","Bolivia",NA,2003
"180","2003-02-09","Brazil",184,2003
"181","2003-02-09","Bulgaria",NA,2003
"182","2003-02-09","Canada",NA,2003
"183","2003-02-09","Chile",0,2003
"184","2003-02-09","France",NA,2003
"185","2003-02-09","Germany",NA,2003
"186","2003-02-09","Hungary",NA,2003
"187","2003-02-09","Japan",NA,2003
"188","2003-02-09","Mexico",NA,2003
"189","2003-02-09","Netherlands",NA,2003
"190","2003-02-09","New.Zealand",NA,2003
"191","2003-02-09","Norway",NA,2003
"192","2003-02-09","Paraguay",NA,2003
"193","2003-02-09","Peru",250,2003
"194","2003-02-09","Poland",NA,2003
"195","2003-02-09","Romania",664,2003
"196","2003-02-09","Russia",NA,2003
"197","2003-02-09","South.Africa",NA,2003
"198","2003-02-09","Spain",NA,2003
"199","2003-02-09","Sweden",NA,2003
"200","2003-02-09","Switzerland",NA,2003
"201","2003-02-09","Ukraine",NA,2003
"202","2003-02-09","United.States",NA,2003
"203","2003-02-09","Uruguay",NA,2003
"204","2003-02-16","Argentina",141,2003
"205","2003-02-16","Australia",NA,2003
"206","2003-02-16","Austria",NA,2003
"207","2003-02-16","Belgium",NA,2003
"208","2003-02-16","Bolivia",NA,2003
"209","2003-02-16","Brazil",162,2003
"210","2003-02-16","Bulgaria",NA,2003
"211","2003-02-16","Canada",NA,2003
"212","2003-02-16","Chile",0,2003
"213","2003-02-16","France",NA,2003
"214","2003-02-16","Germany",NA,2003
"215","2003-02-16","Hungary",NA,2003
"216","2003-02-16","Japan",NA,2003
"217","2003-02-16","Mexico",NA,2003
"218","2003-02-16","Netherlands",NA,2003
"219","2003-02-16","New.Zealand",NA,2003
"220","2003-02-16","Norway",NA,2003
"221","2003-02-16","Paraguay",NA,2003
"222","2003-02-16","Peru",236,2003
"223","2003-02-16","Poland",NA,2003
"224","2003-02-16","Romania",736,2003
"225","2003-02-16","Russia",NA,2003
"226","2003-02-16","South.Africa",NA,2003
"227","2003-02-16","Spain",NA,2003
"228","2003-02-16","Sweden",NA,2003
"229","2003-02-16","Switzerland",NA,2003
"230","2003-02-16","Ukraine",NA,2003
"231","2003-02-16","United.States",NA,2003
"232","2003-02-16","Uruguay",NA,2003
"233","2003-02-23","Argentina",135,2003
"234","2003-02-23","Australia",NA,2003
"235","2003-02-23","Austria",NA,2003
"236","2003-02-23","Belgium",NA,2003
"237","2003-02-23","Bolivia",426,2003
"238","2003-02-23","Brazil",194,2003
"239","2003-02-23","Bulgaria",NA,2003
"240","2003-02-23","Canada",NA,2003
"241","2003-02-23","Chile",0,2003
"242","2003-02-23","France",NA,2003
"243","2003-02-23","Germany",NA,2003
"244","2003-02-23","Hungary",NA,2003
"245","2003-02-23","Japan",NA,2003
"246","2003-02-23","Mexico",NA,2003
"247","2003-02-23","Netherlands",NA,2003
"248","2003-02-23","New.Zealand",NA,2003
"249","2003-02-23","Norway",NA,2003
"250","2003-02-23","Paraguay",NA,2003
"251","2003-02-23","Peru",274,2003
"252","2003-02-23","Poland",NA,2003
"253","2003-02-23","Romania",740,2003
"254","2003-02-23","Russia",NA,2003
"255","2003-02-23","South.Africa",NA,2003
"256","2003-02-23","Spain",NA,2003
"257","2003-02-23","Sweden",NA,2003
"258","2003-02-23","Switzerland",NA,2003
"259","2003-02-23","Ukraine",NA,2003
"260","2003-02-23","United.States",NA,2003
"261","2003-02-23","Uruguay",NA,2003
"262","2003-03-02","Argentina",134,2003
"263","2003-03-02","Australia",NA,2003
"264","2003-03-02","Austria",NA,2003
"265","2003-03-02","Belgium",NA,2003
"266","2003-03-02","Bolivia",427,2003
"267","2003-03-02","Brazil",177,2003
